Epsilon,GPM,PM,SW
1.0,1150.3067356565416,1258.9708795739994,1243.5363369367335
1.5,1003.8776143024725,1179.576134593666,1131.165623501678
2.0,854.6125610651607,1089.3052795946771,991.3931157200029
2.5,716.6651727281916,979.6321331954738,833.9215435248271
3.0,601.7717155561932,865.0292772632758,693.4381594424518
3.5,511.50874729030966,741.0354445005145,582.9640511007763
4.0,436.1538695425237,632.017735898806,491.54531637595653
4.5,368.47055276271544,548.6344706173775,412.8980711977973
5.0,309.1522537727496,474.9060772366731,341.85541244127836
5.5,248.58645604456328,409.3512778004641,290.4799913887046
6.0,191.51667886907185,350.77807444682514,255.28639123132714
6.5,144.12599530329305,293.7081027181562,230.3586554540082
7.0,110.44780174969452,238.8881082746313,210.82565680760177
7.5,84.22941788487918,191.27801716648912,195.0259939349125
8.0,66.74275562141518,154.513394079294,182.23192251508513
