Epsilon,GPM,PM,SW
1.000000000000000000e+00,1.034091876556630268e+03,1.020863675748838546e+03,1.007189006732726739e+03
1.500000000000000000e+00,8.722798614150220828e+02,8.777723255300828669e+02,8.726710999492682959e+02
2.000000000000000000e+00,7.402872645652522579e+02,7.412031486754792695e+02,7.340364180695869436e+02
2.500000000000000000e+00,6.107888510684532548e+02,6.127840077847112070e+02,6.041579093911900600e+02
3.000000000000000000e+00,4.846958953018466900e+02,5.018855207439917763e+02,4.807486869821461255e+02
3.500000000000000000e+00,3.772589596808168722e+02,4.064807532459541903e+02,3.917796792043668006e+02
4.000000000000000000e+00,2.923887975883607169e+02,3.287141497837162660e+02,3.335483634646929545e+02
4.500000000000000000e+00,2.247882133614995439e+02,2.677460471418984298e+02,2.906685708526321719e+02
5.000000000000000000e+00,1.735097129234375473e+02,2.192724388272169165e+02,2.596315588675584536e+02
5.500000000000000000e+00,1.362102470849794997e+02,1.831062029076592239e+02,2.366517844428102819e+02
6.000000000000000000e+00,1.089683584621674726e+02,1.514520515430506862e+02,2.175695206629711436e+02
6.500000000000000000e+00,8.912288282845436527e+01,1.255456006070762811e+02,2.016059127885966404e+02
7.000000000000000000e+00,7.456958364923031013e+01,1.065233158998011760e+02,1.883407534434258253e+02
7.500000000000000000e+00,6.462671671671209594e+01,9.232289980159617926e+01,1.764757331782318772e+02
8.000000000000000000e+00,5.751894634173692822e+01,7.919666467677353694e+01,1.663905887097807295e+02
