Epsilon,GT,GPM,UB_GPM,PM,SW
1.000000000000000000e+00,0.000000000000000000e+00,7.584136632547633372e-02,3.823772562813243514e-03,9.414366698812387524e-02,9.456218284154904730e-02
1.500000000000000000e+00,0.000000000000000000e+00,5.963378642605560165e-02,1.080946281881156601e-03,7.995857234533482183e-02,8.092705616453649275e-02
2.000000000000000000e+00,0.000000000000000000e+00,4.651609280456558970e-02,1.556238415194421965e-03,6.717293356282405536e-02,6.856913667229880271e-02
2.500000000000000000e+00,0.000000000000000000e+00,3.563192397205744433e-02,3.676917430952553190e-04,5.575643255482198857e-02,5.806846740025539688e-02
3.000000000000000000e+00,0.000000000000000000e+00,2.786077569124184583e-02,8.529909326056572816e-04,4.584124626606084218e-02,4.968543610215164774e-02
3.500000000000000000e+00,0.000000000000000000e+00,2.176442685593038551e-02,1.908242197161125198e-04,3.674831976063630545e-02,4.223156063028693508e-02
4.000000000000000000e+00,0.000000000000000000e+00,1.676221687987022868e-02,3.592576390492041583e-04,2.975431552086027498e-02,3.619721612054560556e-02
4.500000000000000000e+00,0.000000000000000000e+00,1.313393674024915248e-02,3.946749875978761146e-04,2.397786891358311134e-02,3.124955753896130339e-02
5.000000000000000000e+00,0.000000000000000000e+00,1.016696474497258418e-02,5.748480565785918373e-04,1.885596049762267024e-02,2.764976842370053811e-02
5.500000000000000000e+00,0.000000000000000000e+00,8.049336805869000688e-03,2.930778446933457460e-04,1.506126054669615355e-02,2.466546140326442149e-02
6.000000000000000000e+00,0.000000000000000000e+00,6.244575355400572292e-03,3.273360316030649031e-04,1.176144140999574317e-02,2.221877726183429935e-02
6.500000000000000000e+00,0.000000000000000000e+00,4.864459538941601213e-03,5.074254893131513455e-04,9.334787090589991010e-03,2.006249642979857084e-02
7.000000000000000000e+00,0.000000000000000000e+00,3.766554491988260978e-03,2.426572870256604730e-04,7.282097254887431870e-03,1.852949643035634031e-02
7.500000000000000000e+00,0.000000000000000000e+00,3.008020728180793579e-03,5.989152850255363703e-05,5.761053919538183798e-03,1.705280873881043213e-02
8.000000000000000000e+00,0.000000000000000000e+00,2.272788814956405723e-03,3.666594419651225678e-04,4.476858457889587584e-03,1.610348036652087256e-02
