Epsilon,GT,GPM,UB_GPM,PM,SW
1.000000000000000000e+00,0.000000000000000000e+00,7.372603057346105437e-02,6.204593657206933788e-01,9.115344789348317489e-02,9.051051494827822008e-02
1.500000000000000000e+00,0.000000000000000000e+00,5.762423812615385943e-02,3.430997516664555658e-01,7.696192699535492343e-02,7.875386289264080242e-02
2.000000000000000000e+00,0.000000000000000000e+00,4.480136161464554068e-02,2.273883790219816126e-01,6.490303887932807880e-02,6.645836841676322493e-02
2.500000000000000000e+00,0.000000000000000000e+00,3.446860519948524715e-02,1.425729823580174083e-01,5.421829983084613946e-02,5.565585706357562001e-02
3.000000000000000000e+00,0.000000000000000000e+00,2.714018260910516789e-02,1.053762998156392849e-01,4.338569523644686399e-02,4.701188003629619416e-02
3.500000000000000000e+00,0.000000000000000000e+00,2.108990758588608072e-02,8.867355479307459376e-02,3.556442274181326191e-02,4.065826967767927069e-02
4.000000000000000000e+00,0.000000000000000000e+00,1.664604063995345218e-02,8.611860170534374470e-02,2.879448678004503659e-02,3.445930619003140238e-02
4.500000000000000000e+00,0.000000000000000000e+00,1.284495791491185868e-02,3.689752675845964225e-02,2.292750388098951930e-02,3.034688240190253072e-02
5.000000000000000000e+00,0.000000000000000000e+00,9.949976007654515175e-03,1.709070015068647752e-03,1.817323068685888776e-02,2.685702582760562951e-02
5.500000000000000000e+00,0.000000000000000000e+00,7.630484423654826376e-03,3.007664879998550589e-02,1.466079686430110662e-02,2.360558689812608524e-02
6.000000000000000000e+00,0.000000000000000000e+00,6.126620005088345700e-03,3.857745449715677122e-02,1.137930459780872594e-02,2.137683116516586601e-02
6.500000000000000000e+00,0.000000000000000000e+00,4.279136714664233399e-03,1.327169967612890078e-02,8.844689018358109500e-03,1.919272570198549133e-02
7.000000000000000000e+00,0.000000000000000000e+00,3.665289580595865182e-03,7.310476412347083341e-02,6.989654738146500179e-03,1.798340290002337083e-02
7.500000000000000000e+00,0.000000000000000000e+00,2.691573775413735881e-03,6.571615021577659199e-02,5.549334011953233059e-03,1.661022684353463674e-02
8.000000000000000000e+00,0.000000000000000000e+00,2.189122576688073973e-03,3.287794496297402613e-03,4.364413629324492838e-03,1.547442449634711670e-02
