,attitude.roll,attitude.pitch,attitude.yaw,gravity.x,gravity.y,gravity.z,rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z
0,0.627059,-1.058523,0.278144,0.287608,0.871632,-0.396908,1.077263,0.224394,0.350103,0.368047,0.817622,-0.077808
1,0.628015,-1.043158,0.275923,0.295822,0.863998,-0.407423,0.361392,0.052994,0.410484,0.325471,0.411316,-0.055757
2,0.634446,-1.041952,0.289878,0.299053,0.863391,-0.406351,-0.439472,-0.508131,0.23683,0.142109,-0.089251,-0.066839
3,0.638048,-1.05255,0.30934,0.295048,0.868689,-0.397899,-0.83277,-0.664512,-0.008204,0.080563,-0.158545,-0.055333
4,0.645913,-1.068337,0.329102,0.289876,0.876401,-0.384565,-0.95889,-0.337706,-0.106711,-0.073994,-0.144986,-0.057924
5,0.661664,-1.08543,0.350655,0.28665,0.884504,-0.368078,-0.981086,-0.068057,-0.121099,-0.137632,-0.122602,0.025411
6,0.680398,-1.102012,0.371072,0.284228,0.892118,-0.351193,-0.92682,0.077927,-0.179655,-0.148669,-0.231901,0.115857
7,0.699518,-1.120072,0.3897,0.280469,0.900132,-0.333311,-1.011296,0.126746,-0.326654,-0.197263,-0.377473,0.201261
8,0.719419,-1.144946,0.407107,0.272205,0.910688,-0.310722,-1.292843,0.309037,-0.647184,-0.166966,-0.649457,0.255119
9,0.74953,-1.17589,0.4292,0.262106,0.923033,-0.281616,-1.511207,0.551906,-0.720592,-0.137075,-0.674223,0.167282
10,0.78998,-1.206009,0.46157,0.25341,0.9342,-0.251098,-1.447313,0.479539,-0.527773,-0.124641,-0.272426,0.051467
11,0.836594,-1.2289,0.503069,0.248891,0.942121,-0.224627,-1.218927,0.31245,-0.23327,-0.073903,-0.235639,-0.00459
12,0.882201,-1.244232,0.547649,0.247689,0.94715,-0.203843,-0.941192,0.118907,-0.025984,0.027381,-0.215171,-0.041976
13,0.922659,-1.250875,0.587031,0.25071,0.94926,-0.189855,-0.569648,0.192234,0.228618,0.035697,-0.167949,0.003774
14,0.965049,-1.250273,0.626257,0.259,0.949071,-0.179386,-0.462509,0.285742,0.461051,-0.003751,-0.119908,0.017002
15,1.008296,-1.247247,0.66721,0.268941,0.948113,-0.169551,-0.398211,0.119303,0.469191,-0.100896,0.314384,0.011287
16,1.012752,-1.240185,0.677091,0.275368,0.945844,-0.171892,0.382183,-0.401574,0.315076,-0.101021,0.642428,0.064318
17,0.973818,-1.230013,0.64241,0.276411,0.942493,-0.187879,0.920298,-0.170941,-0.017951,-0.038145,0.952969,0.292631
18,0.934195,-1.224559,0.593734,0.272882,0.940656,-0.201735,0.586729,0.556896,-0.324589,0.009161,0.0367,0.345274
19,0.939416,-1.226309,0.584098,0.272602,0.941249,-0.199335,-0.110599,0.727438,-0.011348,0.15263,-0.099986,-0.004584
20,0.948989,-1.220674,0.586539,0.278804,0.939331,-0.199802,0.400271,0.091468,0.344481,0.222218,0.383347,-0.050411
21,0.92338,-1.209349,0.564776,0.282064,0.935386,-0.213278,0.569723,-0.44286,0.087839,0.559687,0.661904,0.063407
22,0.900129,-1.209643,0.551772,0.276814,0.93549,-0.219608,0.011478,-0.51023,-0.162733,0.403392,0.160961,-0.141568
23,0.894041,-1.210296,0.551131,0.274995,0.935721,-0.220906,-0.003729,-0.14342,0.027902,0.192565,0.156717,-0.121807
24,0.906008,-1.207184,0.563848,0.279909,0.934618,-0.219395,-0.149474,0.10266,0.419675,0.198866,0.294615,0.031223
25,0.94161,-1.202382,0.597521,0.291166,0.932899,-0.211931,-0.473949,0.232043,0.579612,0.147249,0.111443,0.08655
26,0.986235,-1.202721,0.6414,0.300067,0.933021,-0.198557,-0.72488,0.142431,0.297032,0.042523,-0.035332,0.153803
27,1.022896,-1.209475,0.67851,0.301757,0.93543,-0.184138,-0.728863,0.098028,-0.050111,0.024461,-0.111731,0.224177
28,1.0553,-1.218504,0.709866,0.300202,0.938584,-0.170093,-0.671624,0.166352,-0.136325,-0.037293,-0.162248,0.245213
29,1.081228,-1.22686,0.733906,0.297579,0.941435,-0.15856,-0.484746,0.164796,-0.17561,-0.082048,-0.152555,0.205618
30,1.096604,-1.233016,0.74726,0.294819,0.943492,-0.151316,-0.22668,0.133023,-0.179108,-0.1722,-0.209377,0.085627
31,1.091167,-1.236613,0.736505,0.290979,0.944679,-0.151349,0.265481,0.338391,-0.281687,-0.176034,-0.328712,0.003889
32,1.065225,-1.237592,0.697599,0.286146,0.944999,-0.158398,0.683413,0.651582,-0.377446,-0.075513,-0.475639,0.074643
33,1.028179,-1.236557,0.64369,0.28092,0.94466,-0.169393,0.816929,0.668232,-0.394694,-0.009695,-0.531254,0.060094
34,0.990772,-1.23392,0.591797,0.276471,0.943792,-0.181145,0.766842,0.53594,-0.301939,0.117633,-0.542959,0.110069
35,0.957665,-1.229309,0.548135,0.27388,0.942258,-0.192699,0.721456,0.30015,-0.171631,0.171478,-0.441998,0.08453
36,0.92391,-1.222433,0.508942,0.272384,0.939933,-0.205732,0.741461,0.084568,-0.09003,0.172837,-0.41326,0.090758
37,0.888553,-1.215773,0.473178,0.269795,0.937638,-0.219176,0.642221,-0.206771,-0.140556,0.1777,-0.316026,0.186033
38,0.848288,-1.208704,0.440766,0.265719,0.935158,-0.234235,0.713179,-0.684718,-0.026217,0.034299,-0.02755,0.228223
39,0.808115,-1.194374,0.415745,0.26576,0.929986,-0.253951,0.882187,-0.872383,0.403561,-0.066831,0.336524,0.226989
40,0.784262,-1.170288,0.406045,0.275372,0.920863,-0.275999,1.020844,-0.603296,0.922273,-0.160809,0.564275,0.136564
41,0.771135,-1.138279,0.399021,0.292126,0.907913,-0.300581,1.429919,-0.185321,1.003643,-0.126248,0.74266,-0.117647
42,0.752544,-1.105193,0.376118,0.30686,0.893551,-0.327716,1.495412,0.237832,0.621135,0.0375,0.755787,-0.160169
43,0.737421,-1.081808,0.35334,0.315835,0.882808,-0.347694,1.030439,0.211923,0.31134,0.236396,0.600758,-0.178567
44,0.723832,-1.066299,0.337941,0.320111,0.875418,-0.362169,0.744269,-0.147934,0.241436,0.329853,0.605265,-0.144102
45,0.714696,-1.052285,0.333207,0.324798,0.868558,-0.374309,0.453217,-0.373573,0.443723,0.354889,0.780414,-0.092564
46,0.711388,-1.045658,0.343871,0.327309,0.865255,-0.379733,-0.164748,-0.749246,0.35443,0.104606,0.545115,-0.083799
47,0.709742,-1.051565,0.361908,0.323347,0.868201,-0.376388,-0.689905,-0.897355,0.019803,0.031847,0.242334,-0.043534
48,0.708561,-1.066136,0.380209,0.314636,0.875339,-0.367124,-0.908289,-0.804105,-0.19976,-0.129975,-0.018176,0.025876
49,0.713246,-1.084873,0.400186,0.305566,0.884244,-0.353179,-1.093437,-0.537882,-0.281511,-0.171304,-0.263974,0.120055
50,0.728992,-1.107271,0.425381,0.29782,0.894482,-0.333466,-1.291353,-0.218534,-0.317485,-0.169478,-0.501583,0.093338
51,0.754876,-1.131673,0.455467,0.291304,0.905125,-0.309653,-1.350894,0.030021,-0.352403,-0.169371,-0.550633,0.080389
52,0.785812,-1.15601,0.48579,0.285072,0.915202,-0.284836,-1.277005,0.237856,-0.442952,-0.169426,-0.667278,0.060395
53,0.81638,-1.179999,0.513405,0.277563,0.924606,-0.260876,-1.196827,0.211197,-0.505383,-0.149587,-0.605498,0.093227
54,0.8433,-1.20241,0.540859,0.268938,0.93291,-0.239467,-1.085111,-0.033387,-0.4434,-0.120592,-0.551364,0.089046
55,0.868018,-1.219715,0.571888,0.262415,0.939002,-0.222278,-0.915777,-0.326863,-0.192946,-0.059229,-0.410361,0.090747
56,0.892671,-1.231836,0.608415,0.258931,0.943101,-0.208586,-0.837512,-0.548325,-0.023336,-0.034184,-0.386109,0.089873
57,0.919842,-1.242236,0.649764,0.256686,0.946508,-0.19552,-0.861428,-0.596385,0.027833,-0.077563,-0.285161,0.068735
58,0.949914,-1.250552,0.693968,0.256036,0.949159,-0.183128,-0.766863,-0.584319,0.126751,-0.226083,0.12741,0.104835
59,0.981155,-1.253497,0.736784,0.259307,0.950082,-0.173486,-0.538501,-0.339978,0.363042,-0.188995,0.129646,0.087991
60,1.009445,-1.249059,0.766816,0.267678,0.948687,-0.168325,-0.060219,0.060654,0.458804,-0.175027,0.141767,0.00414
61,0.994657,-1.236244,0.752019,0.275333,0.944557,-0.178874,0.915687,-0.106395,0.362218,-0.165775,0.706901,0.230785
62,0.955575,-1.224927,0.708155,0.276847,0.940781,-0.195653,0.720752,0.372632,-0.180278,-0.135916,0.960907,0.48998
63,0.940683,-1.224559,0.681659,0.274182,0.940656,-0.199958,0.382907,0.449456,-0.184873,0.125079,1.010882,0.114005
64,0.913805,-1.214509,0.640673,0.276181,0.937198,-0.213017,1.012811,0.817951,0.090383,0.458194,0.801876,0.109044
65,0.902475,-1.200098,0.611218,0.284323,0.932074,-0.22448,0.710518,0.695709,0.286049,0.504617,-0.210929,-0.138435
66,0.887445,-1.192358,0.587923,0.286504,0.929243,-0.233277,0.469021,0.066082,-0.024615,0.289714,-0.035566,-0.101577
67,0.878623,-1.190586,0.581704,0.285702,0.928587,-0.236846,-0.083855,-0.20371,-0.008903,0.190083,0.162173,0.018874
68,0.891689,-1.195852,0.596951,0.284963,0.930528,-0.230018,-0.511224,0.081358,-0.064597,0.094768,0.27986,0.093803
69,0.914638,-1.206398,0.614011,0.282375,0.934338,-0.217419,-0.598983,0.51292,-0.285816,0.140813,0.334873,0.165738
70,0.95261,-1.217647,0.638936,0.28184,0.938288,-0.200438,-0.739047,0.841939,-0.126983,0.207753,0.055211,0.133788
71,1.003929,-1.227671,0.675245,0.283802,0.941708,-0.180657,-0.792898,0.818332,-0.037598,0.132808,-0.079312,0.074394
72,1.052007,-1.235416,0.710959,0.285814,0.944285,-0.163187,-0.666531,0.681556,-0.041881,0.056914,-0.245265,0.054331
73,1.084751,-1.246459,0.733192,0.281765,0.947862,-0.148862,-0.545945,0.516597,-0.452093,-0.016735,-0.130754,0.027646
74,1.103085,-1.25942,0.743839,0.273458,0.951913,-0.138121,-0.364847,0.378856,-0.528632,-0.009252,-0.215554,0.047377
75,1.110767,-1.270384,0.74409,0.265142,0.955215,-0.131374,-0.195709,0.364031,-0.431292,-0.000402,-0.307723,0.094356
76,1.114955,-1.277743,0.741271,0.25937,0.957366,-0.127164,-0.086542,0.327994,-0.305501,0.009246,-0.442504,0.123868
77,1.113548,-1.281987,0.733847,0.255543,0.958584,-0.125734,0.069472,0.249269,-0.200693,-0.035695,-0.568386,0.071886
78,1.096184,-1.282484,0.712367,0.252898,0.958725,-0.129935,0.389682,0.105158,-0.137383,-0.099547,-0.628967,0.035895
79,1.05873,-1.278928,0.673651,0.250826,0.957708,-0.140983,0.656463,-0.082344,-0.098959,-0.097338,-0.597768,0.00724
80,1.009024,-1.273635,0.624655,0.247798,0.956171,-0.15597,0.799422,-0.145443,-0.160905,0.002171,-0.45106,0.014826
81,0.954399,-1.266849,0.569829,0.244202,0.954163,-0.173013,0.887212,-0.088181,-0.171047,0.17511,-0.24884,-0.050421
82,0.902495,-1.258914,0.516378,0.240832,0.951758,-0.190135,0.86919,-0.050881,-0.159471,0.330961,-0.130041,0.075145
83,0.858469,-1.249906,0.475137,0.23871,0.948955,-0.206146,0.747219,-0.418716,0.024951,0.170897,-0.206401,0.314666
84,0.811997,-1.236441,0.445219,0.238128,0.944622,-0.225785,0.864047,-1.218094,0.294915,0.054719,-0.071957,0.350969
85,0.766292,-1.216122,0.428002,0.240825,0.93776,-0.250209,0.971163,-1.490436,0.642116,-0.145473,0.357223,0.335047
86,0.734272,-1.189059,0.421641,0.24961,0.928019,-0.276533,1.116304,-1.189575,0.935437,-0.184013,0.532919,0.074873
87,0.706628,-1.157174,0.41212,0.260958,0.915671,-0.305685,1.473039,-0.737633,0.826255,-0.031237,0.756876,-0.247614
88,0.676972,-1.127004,0.384844,0.268968,0.90313,-0.334676,1.449583,-0.015538,0.355148,0.057311,0.601921,-0.164347
89,0.657162,-1.104191,0.362522,0.274802,0.8931,-0.356161,1.070813,-0.010001,0.364246,0.121545,0.685955,-0.215769
90,0.643968,-1.083751,0.351567,0.280982,0.88372,-0.374278,0.861165,-0.327945,0.402713,0.480355,0.776955,-0.087865
91,0.634505,-1.072506,0.350177,0.283301,0.878401,-0.3849,0.188195,-0.441046,0.232583,0.234888,0.415544,0.029019
92,0.630918,-1.077101,0.363128,0.279535,0.880588,-0.382651,-0.677042,-0.906887,-0.0036,0.099692,-0.173312,-0.08468
93,0.627594,-1.092654,0.382881,0.270186,0.887851,-0.372446,-0.940763,-1.049385,-0.103536,-0.028105,-0.129489,-0.070242
94,0.62785,-1.108428,0.404676,0.262021,0.894998,-0.360996,-0.925247,-0.859002,-0.041714,-0.199155,-0.082346,0.063587
95,0.638121,-1.124915,0.429704,0.256889,0.902231,-0.346386,-1.040752,-0.46862,-0.064386,-0.238716,-0.283136,0.176311
96,0.659102,-1.144917,0.458047,0.252995,0.910676,-0.326586,-1.232763,-0.084063,-0.16236,-0.223805,-0.391099,0.177171
97,0.689654,-1.169612,0.490001,0.248465,0.920599,-0.30126,-1.459313,0.114585,-0.358613,-0.160239,-0.539068,0.114676
98,0.725621,-1.200486,0.524862,0.240155,0.932215,-0.270731,-1.651933,0.199398,-0.621782,-0.112912,-0.776515,0.021586
99,0.757357,-1.234364,0.556926,0.226789,0.943938,-0.239878,-1.569054,-0.012331,-0.758732,-0.120573,-0.687743,-0.006093
100,0.783243,-1.262308,0.586414,0.214221,0.952794,-0.215146,-1.153564,-0.145762,-0.518514,-0.04198,-0.100789,0.002652
101,0.812016,-1.277277,0.620036,0.209948,0.957232,-0.199058,-0.745315,-0.154718,0.034484,0.063841,0.053648,0.026725
102,0.854014,-1.280739,0.664907,0.21562,0.958228,-0.18789,-0.535116,-0.028,0.396848,0.015856,-0.095251,-0.021202
103,0.898111,-1.280753,0.714261,0.223683,0.958231,-0.178194,-0.531239,-0.276528,0.473038,-0.121419,0.006841,0.044771
104,0.9134,-1.275374,0.743481,0.230458,0.956679,-0.1779,0.117308,-0.790074,0.464339,-0.082097,0.393449,0.175077
105,0.891487,-1.263936,0.73543,0.235004,0.953287,-0.18977,0.573038,-0.580475,0.401024,-0.140369,0.744422,0.320065
106,0.878021,-1.255577,0.719429,0.23855,0.950728,-0.198,0.289246,0.457518,0.011015,-0.11416,-0.091384,0.33835
107,0.86332,-1.254076,0.700371,0.236698,0.950262,-0.202412,0.635248,-0.360034,-0.167118,-0.122852,0.057291,0.06722
108,0.77498,-1.238129,0.620686,0.228493,0.945175,-0.233304,1.466946,-0.288236,-0.461569,0.403007,1.774002,0.420712
109,0.731506,-1.234723,0.575686,0.220288,0.944057,-0.245409,0.366527,-0.078988,-0.154398,0.629291,-0.22697,-0.296567
110,0.711693,-1.224316,0.554616,0.221787,0.940574,-0.257152,0.698247,0.014325,0.198176,0.161071,-0.039542,-0.058598
111,0.724796,-1.213747,0.572004,0.231716,0.936932,-0.261652,-0.098792,-0.205456,0.705637,0.175251,0.025348,-0.011893
112,0.763439,-1.211124,0.616259,0.24335,0.936012,-0.254279,-0.597836,-0.058244,0.554548,0.122861,0.189461,0.038794
113,0.803641,-1.220275,0.657814,0.247196,0.939194,-0.238337,-0.97215,0.117942,-0.022996,0.336147,0.243927,0.07545
114,0.844072,-1.236778,0.695827,0.245009,0.944733,-0.217821,-0.988508,0.286163,-0.251925,0.330706,0.137985,0.053591
115,0.872758,-1.255016,0.721444,0.237914,0.950554,-0.199595,-0.889719,0.160128,-0.520265,0.155153,-0.073693,0.100657
