Epsilon,SW,PM,Optimal
1.0,0.22477402094725768,0.22087152733041573,0.2172985241915128
1.25,0.20330873680256373,0.19725066537266553,0.19279241051224766
1.5,0.18412352028174292,0.17555797165006432,0.17026213977070867
1.75,0.16710636361673636,0.15577995728424174,0.14971402394177594
2.0,0.15210272725048146,0.13786679920900724,0.13111426482057048
2.25,0.13893161675228322,0.1217394468188538,0.11439618501606161
2.5,0.12739991483512086,0.10729694749697749,0.09946698107391692
2.75,0.11731407355247045,0.09442345853953762,0.08621509827572467
3.0,0.1084888133651397,0.08299455575946778,0.07451633147810362
3.25,0.10075291159462074,0.07288259867485186,0.06424017491124062
3.5,0.09395245421381124,0.06396104790725267,0.05525372153599669
3.75,0.08795207317283146,0.05610773951353377,0.047427236781659055
4.0,0.0826347232612697,0.049207198419779885,0.04063542639076242
4.25,0.07790050520652367,0.04315211987286761,0.034760223940621636
4.5,0.07366495175109583,0.037844168604067516,0.02969252342868615
4.75,0.06985708981784132,0.03319424664307798,0.02533222326877935
5.0,0.06641749385751028,0.029122368991171446,0.021588827883947788
5.25,0.06329646342290286,0.02555726736915134,0.018381347859752786
5.5,0.06045239548598376,0.02243582041075825,0.015637641893850297
5.75,0.05785037823511453,0.01970238702241394,0.013293598602962878
6.0,0.055461005055441305,0.017308100023625362,0.011294359307923982
6.25,0.053259391368152297,0.01521016053260572,0.009589693273403537
6.5,0.051224369411509145,0.01337116012724404,0.008139656033312131
6.75,0.04933783391656548,0.01175844744019324,0.006906172433290239
7.0,0.047584212717655255,0.010343548164865948,0.0058574989907580356
7.25,0.045950039074230724,0.009101641994394965,0.0049666333568525985
7.5,0.044423605851600836,0.008011096321996638,0.004210213923634594
7.75,0.04299468510996033,0.007053054175853398,0.0035683153067007476
8.0,0.041654299763854416,0.00621107248656415,0.00302356309907957
